Frozen Coffee,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
French Vanilla Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,30,125,99,0,92,83,6,1,1163,202,1
Frozen Coffee with Cream - Large,Large,780,35,18,1,105,200,113,0,108,103,7,2,1841,204,2
Frozen Coffee with Cream - Medium,Medium,590,26,14,1,80,150,85,0,81,77,5,1,1381,153,2
Frozen Coffee with Cream - Small,Small,390,17,9,0.5,55,100,57,0,54,51,3,1,920,102,1
Frozen Coffee with Skim Milk - Large,Large,500,0,0,0,5,150,117,0,112,103,8,2,1881,263,2
Frozen Coffee with Skim Milk - Medium,Medium,370,0,0,0,5,115,88,0,84,77,6,2,1411,198,2
Frozen Coffee with Skim Milk - Small,Small,250,0,0,0,0,75,59,0,56,51,4,1,941,132,1
Frozen Coffee with Whole Milk - Large,Large,550,6,3.5,0,20,150,117,0,111,103,7,2,1836,246,2
Frozen Coffee with Whole Milk - Medium,Medium,410,4.5,2.5,0,15,115,88,0,84,77,5,2,1377,185,2
Frozen Coffee with Whole Milk - Small,Small,270,3,1.5,0,10,75,58,0,56,51,4,1,918,123,1
Mocha Swirl Frozen Coffee with Cream - Large,Large,1100,41,22,1.5,125,240,179,3,165,159,9,2,2284,235,4
Mocha Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,95,190,137,2,126,122,7,2,1734,180,3
Mocha Swirl Frozen Coffee with Cream - Small,Small,600,22,13,0.5,70,125,97,2,88,85,5,1,1186,126,2
Mocha Swirl Frozen Coffee with Skim Milk - Large,Large,820,6,4,0,20,190,183,3,169,159,10,2,2324,294,4
Mocha Swirl Frozen Coffee with Skim Milk - Medium,Medium,630,5,3.5,0,20,150,140,2,129,122,8,2,1764,224,3
Mocha Swirl Frozen Coffee with Skim Milk - Small,Small,460,5,3.5,0,15,100,99,2,90,85,5,1,1206,155,2
Mocha Swirl Frozen Coffee with Whole Milk - Large,Large,870,12,7,0,35,190,183,3,169,159,9,3,2279,277,4
Mocha Swirl Frozen Coffee with Whole Milk - Medium,Medium,670,10,6,0,30,150,140,2,129,122,7,2,1730,211,3
Mocha Swirl Frozen Coffee with Whole Milk - Small,Small,480,8,5,0,25,100,98,2,90,85,5,1,1183,147,2
