Iced Latte,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Chai Iced Latte with Whole Milk- Small,Small,200,6,3.5,0,20,110,29,1,27,18,6,2,283,216,0
Cocoa Mocha Signature Iced Latte with Skim Milk - Large,Large,420,6,4,0,25,220,78,2,69,50,15,5,1061,495,2
Cocoa Mocha Signature Iced Latte with Skim Milk - Medium,Medium,330,6,3.5,0,20,160,60,2,52,38,11,3,798,373,2
Cocoa Mocha Signature Iced Latte with Skim Milk - Small,Small,250,5,3.5,0,20,115,43,1,36,27,8,2,548,255,1
Cocoa Mocha Signature Iced Latte with Whole Milk - Large,Large,520,18,11,0.5,55,220,77,2,68,50,14,5,971,460,2
Cocoa Mocha Signature Iced Latte with Whole Milk - Medium,Medium,400,14,9,0,45,170,60,2,52,38,10,4,731,347,2
Cocoa Mocha Signature Iced Latte with Whole Milk - Small,Small,300,11,7,0,35,115,42,1,36,27,7,3,503,238,1
French Vanilla Swirl Iced Latte with Skim Milk - Large,Large,350,0,0,0,10,240,71,0,67,42,15,4,980,549,0
French Vanilla Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,10,180,53,0,50,31,11,3,730,411,0
French Vanilla Swirl Iced Latte with Skim Milk - Small,Small,170,0,0,0,5,120,35,0,33,21,7,2,490,275,0
French Vanilla Swirl Iced Latte with Whole Milk - Large,Large,450,12,7,0,40,240,70,0,66,42,14,5,891,515,0
French Vanilla Swirl Iced Latte with Whole Milk - Medium,Medium,330,9,5,0,30,180,52,0,50,31,11,4,663,385,0
French Vanilla Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,120,35,0,33,21,7,2,445,258,0
Iced Latte with AlmondMilk - Large,Large,130,3.5,0,0,0,260,23,1,20,19,2,4,374,715,1
Iced Latte with AlmondMilk - Medium,Medium,100,3,0,0,0,190,17,1,15,15,1,3,276,536,1
Iced Latte with AlmondMilk - Small,Small,70,2,0,0,0,130,11,0,10,10,1,2,187,358,1
Iced Latte with Coconutmilk - Large,Large,70,6,5,0,0,95,4,0,1,0,1,5,567,774,1
Iced Latte with Coconutmilk - Medium,Medium,50,4.5,3.5,0,0,70,3,0,1,0,1,4,420,580,1
Iced Latte with Coconutmilk - Small,Small,35,3,2.5,0,0,50,2,0,0,0,0,2,283,387,0
Iced Latte with Oatmilk - Large,Large,180,5,1,0,0,200,32,4,7,5,3,9,681,518,1
Iced Latte with Oatmilk - Medium,Medium,130,4,0.5,0,0,150,24,3,5,4,2,7,506,388,0
Iced Latte with Oatmilk - Small,Small,90,2.5,0,0,0,100,16,2,4,3,1,4,340,259,0
Iced Latte with Skim Milk - Large,Large,130,0,0,0,5,180,20,0,18,0,12,4,670,465,0
Iced Latte with Skim Milk - Medium,Medium,100,0,0,0,5,135,15,0,14,0,9,3,498,348,0
Iced Latte with Skim Milk - Small,Small,70,0,0,0,5,90,10,0,9,0,6,2,335,233,0
Iced Latte with Skim Milk and Sugar - Large,Large,270,0,0,0,5,180,54,0,53,35,12,4,671,465,0
Iced Latte with Skim Milk and Sugar - Medium,Medium,200,0,0,0,5,135,41,0,40,26,9,3,498,348,0
Iced Latte with Skim Milk and Sugar - Small,Small,130,0,0,0,5,90,27,0,26,17,6,2,335,233,0
Iced Latte with Whole Milk - Large,Large,230,12,7,0,35,180,19,0,18,0,12,5,580,431,0
Iced Latte with Whole Milk - Medium,Medium,170,9,5,0,25,135,14,0,13,0,9,4,430,322,0
Iced Latte with Whole Milk - Small,Small,120,6,3.5,0,20,90,9,0,9,0,6,2,290,216,0
Iced Latte with Whole Milk and Sugar - Large,Large,370,12,7,0,35,180,54,0,52,35,12,5,581,431,0
Iced Latte with Whole Milk and Sugar - Medium,Medium,270,9,5,0,25,135,40,0,39,26,9,4,431,323,0
Iced Latte with Whole Milk and Sugar - Small,Small,180,6,3.5,0,20,90,27,0,26,17,6,2,291,216,0
Matcha Iced Latte with Skim Milk - Large,Large,240,0,0,0,5,170,45,2,43,25,14,8,578,464,0
Matcha Iced Latte with Skim Milk - Medium,Medium,180,0,0,0,5,125,34,1,32,19,11,6,433,347,0
Matcha Iced Latte with Skim Milk - Small,Small,120,0,0,0,5,85,23,1,22,12,7,4,289,232,0
Matcha Iced Latte with Whole Milk - Large,Large,340,12,7,0,35,170,44,2,43,25,13,9,488,429,0
Matcha Iced Latte with Whole Milk - Medium,Medium,250,9,5,0,25,130,33,1,32,19,10,6,366,321,0
Matcha Iced Latte with Whole Milk - Small,Small,170,6,3.5,0,20,85,22,1,21,12,7,4,244,215,0
Mocha Swirl Iced Latte with Skim Milk - Large,Large,340,1,0.5,0,5,210,70,2,64,46,14,4,"1,021",476,2
Mocha Swirl Iced Latte with Skim Milk - Medium,Medium,250,1,0.5,0,5,160,52,2,48,34,10,3,761,356,1
Mocha Swirl Iced Latte with Skim Milk - Small,Small,170,0.5,0,0,5,105,35,1,32,23,7,2,510,238,1
Mocha Swirl Iced Latte with Whole Milk - Large,Large,440,13,7,0,35,220,69,2,63,46,13,5,931,442,2
Mocha Swirl Iced Latte with Whole Milk - Medium,Medium,330,10,6,0,25,160,52,2,47,34,10,4,694,330,1
Mocha Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,110,35,1,32,23,7,2,466,221,1
Pecan Vanilla Iced Latte - Large,Large,450,12,7,0,40,440,70,0,66,42,15,5,759,561,0
Pecan Vanilla Iced Latte - Medium,Medium,340,9,5,0,30,330,52,0,49,31,11,4,565,420,0
Pecan Vanilla Iced Latte - Small,Small,230,6,3.5,0,20,220,35,0,33,21,7,2,380,281,0
