Hot Latte,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Caramel Craze Signature Hot Latte with Skim Milk - Large,Large,440,6,3.5,0,30,240,80,0,75,51,16,5,1070,576,0
Caramel Craze Signature Hot Latte with Skim Milk - Medium,Medium,340,5,3,0,25,180,61,0,57,39,12,3,806,436,0
Caramel Craze Signature Hot Latte with Skim Milk - Small,Small,250,5,3,0,20,125,43,0,40,27,8,2,552,298,0
Caramel Craze Signature Hot Latte with Whole Milk - Large,Large,530,17,10,0.5,60,250,79,0,74,51,15,5,981,542,0
Caramel Craze Signature Hot Latte with Whole Milk - Medium,Medium,410,14,8,0,45,190,61,0,57,39,11,4,739,410,0
Caramel Craze Signature Hot Latte with Whole Milk - Small,Small,300,11,6,0,35,130,43,0,39,27,8,3,507,281,0
Caramel Swirl Hot Latte with Skim Milk - Large,Large,350,0,0,0,10,230,71,0,69,46,15,4,"1,012",553,0
Caramel Swirl Hot Latte with Skim Milk - Medium,Medium,260,0,0,0,10,170,53,0,52,35,11,3,754,415,0
Caramel Swirl Hot Latte with Skim Milk - Small,Small,180,0,0,0,5,115,36,0,35,23,8,2,506,276,0
Caramel Swirl Hot Latte with Whole Milk - Large,Large,450,12,7,0,40,240,70,0,69,46,14,5,922,518,0
Caramel Swirl Hot Latte with Whole Milk - Medium,Medium,340,9,5,0,30,180,53,0,52,35,11,4,687,389,0
Caramel Swirl Hot Latte with Whole Milk - Small,Small,230,6,3.5,0,20,120,35,0,34,23,7,2,461,259,0
Chai Hot Latte with Skim Milk- Large,Large,290,0.5,0,0,5,200,58,2,54,36,13,4,651,450,1
Chai Hot Latte with Skim Milk- Medium,Medium,220,0,0,0,5,150,44,2,41,27,10,3,488,338,0
Chai Hot Latte with Skim Milk- Small,Small,150,0,0,0,5,100,29,1,27,18,7,2,326,225,0
Chai Hot Latte with Whole Milk- Large,Large,390,12,7,0,35,200,57,2,54,36,12,5,561,416,1
Chai Hot Latte with Whole Milk- Medium,Medium,290,9,5,0,25,150,43,2,40,27,9,4,421,312,0
Chai Hot Latte with Whole Milk- Small,Small,200,6,3.5,0,20,100,29,1,27,18,6,2,281,208,0
Cocoa Mocha Signature Hot Latte with Skim Milk - Large,Large,420,6,4,0,25,210,79,2,69,50,15,5,1077,480,2
Cocoa Mocha Signature Hot Latte with Skim Milk - Medium,Medium,330,6,3.5,0,20,160,61,2,53,39,11,3,812,363,2
Cocoa Mocha Signature Hot Latte with Skim Milk - Small,Small,250,5,3.5,0,20,110,43,1,37,27,8,2,557,248,1
Cocoa Mocha Signature Hot Latte with Whole Milk - Large,Large,520,18,11,0.5,55,210,78,2,68,50,14,5,987,445,2
Cocoa Mocha Signature Hot Latte with Whole Milk - Medium,Medium,400,14,9,0,45,160,60,2,52,39,10,4,744,337,2
Cocoa Mocha Signature Hot Latte with Whole Milk - Small,Small,300,11,7,0,35,110,43,1,36,27,7,3,512,230,1
French Vanilla Swirl Hot Latte with Skim Milk - Large,Large,350,0,0,0,10,220,71,0,67,42,15,4,975,534,0
French Vanilla Swirl Hot Latte with Skim Milk - Medium,Medium,260,0,0,0,10,170,53,0,50,31,11,3,727,400,0
French Vanilla Swirl Hot Latte with Skim Milk - Small,Small,170,0,0,0,5,110,35,0,33,21,7,2,488,267,0
French Vanilla Swirl Hot Latte with Whole Milk - Large,Large,450,12,7,0,40,230,70,0,66,42,14,5,885,499,0
French Vanilla Swirl Hot Latte with Whole Milk - Medium,Medium,330,9,5,0,30,170,52,0,50,31,11,4,659,374,0
French Vanilla Swirl Hot Latte with Whole Milk - Small,Small,220,6,3.5,0,20,115,35,0,33,21,7,2,443,250,0
Hot Latte with AlmondMilk - Large,Large,130,3.5,0,0,0,240,23,1,20,19,2,4,369,699,1
Hot Latte with AlmondMilk - Medium,Medium,100,3,0,0,0,180,17,1,15,15,1,3,273,525,1
Hot Latte with AlmondMilk - Small,Small,70,2,0,0,0,120,11,0,10,10,1,2,185,350,1
Hot Latte with Coconutmilk - Large,Large,70,6,5,0,0,80,4,0,1,0,1,5,562,759,1
Hot Latte with Coconutmilk - Medium,Medium,50,4.5,3.5,0,0,60,3,0,1,0,1,4,417,569,1
Hot Latte with Coconutmilk - Small,Small,35,3,2.5,0,0,40,2,0,0,0,0,2,281,379,0
Hot Latte with Oatmilk - Large,Large,180,5,1,0,0,180,32,4,7,5,3,9,675,503,1
Hot Latte with Oatmilk - Medium,Medium,130,4,0.5,0,0,135,24,3,5,4,2,7,502,377,0
Hot Latte with Oatmilk - Small,Small,90,2.5,0,0,0,90,16,2,4,3,1,4,338,251,0
Hot Latte with Skim Milk - Large,Large,130,0,0,0,5,170,20,0,18,0,12,4,665,450,0
Hot Latte with Skim Milk - Medium,Medium,100,0,0,0,5,125,15,0,14,0,9,3,494,337,0
Hot Latte with Skim Milk - Small,Small,70,0,0,0,5,85,10,0,9,0,6,2,332,225,0
Hot Latte with Skim Milk and Sugar - Large,Large,270,0,0,0,5,170,54,0,53,35,12,4,666,450,0
Hot Latte with Skim Milk and Sugar - Medium,Medium,200,0,0,0,5,125,41,0,40,26,9,3,495,337,0
Hot Latte with Skim Milk and Sugar - Small,Small,130,0,0,0,5,85,27,0,26,17,6,2,333,225,0
Hot Latte with Whole Milk - Large,Large,230,12,7,0,35,170,19,0,18,0,12,5,575,415,0
Hot Latte with Whole Milk - Medium,Medium,170,9,5,0,25,125,14,0,13,0,9,4,427,311,0
Hot Latte with Whole Milk - Small,Small,120,6,3.5,0,20,85,9,0,9,0,6,2,288,208,0
Hot Latte with Whole Milk and Sugar - Large,Large,370,12,7,0,35,170,54,0,52,35,12,5,576,416,0
Hot Latte with Whole Milk and Sugar - Medium,Medium,270,9,5,0,25,125,40,0,39,26,9,4,427,312,0
Hot Latte with Whole Milk and Sugar - Small,Small,180,6,3.5,0,20,85,27,0,26,17,6,2,288,208,0
Matcha Hot Latte with Skim Milk - Large,Large,240,0,0,0,5,150,45,2,43,25,14,8,573,448,0
Matcha Hot Latte with Skim Milk - Medium,Medium,180,0,0,0,5,115,34,1,32,19,11,6,430,336,0
Matcha Hot Latte with Skim Milk - Small,Small,120,0,0,0,5,75,23,1,22,12,7,4,286,224,0
Matcha Hot Latte with Whole Milk - Large,Large,340,12,7,0,35,160,44,2,43,25,13,9,483,414,0
Matcha Hot Latte with Whole Milk - Medium,Medium,250,9,5,0,25,120,33,1,32,19,10,6,362,310,0
Matcha Hot Latte with Whole Milk - Small,Small,170,6,3.5,0,20,80,22,1,21,12,7,4,242,207,0
Mocha Swirl Hot Latte with Skim Milk - Large,Large,340,1,0.5,0,5,200,70,2,64,46,14,4,"1,016",460,2
Mocha Swirl Hot Latte with Skim Milk - Medium,Medium,250,1,0.5,0,5,150,52,2,48,34,10,3,757,345,1
Mocha Swirl Hot Latte with Skim Milk - Small,Small,170,0.5,0,0,5,100,35,1,32,23,7,2,508,230,1
Mocha Swirl Hot Latte with Whole Milk - Large,Large,440,13,7,0,35,200,69,2,63,46,13,5,926,426,2
Mocha Swirl Hot Latte with Whole Milk - Medium,Medium,330,10,6,0,25,150,52,2,47,34,10,4,690,319,1
Mocha Swirl Hot Latte with Whole Milk - Small,Small,220,6,3.5,0,20,100,35,1,32,23,7,2,463,213,1
